Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
21 1978  1.33414e+06 83182 96831.3 0 0 0 0 0 0 0 35793.7
21 1979  4.38914e+06 114168 128654 0 0 0 0 0 0 0 51836
21 1980  1.44784e+07 146878 181008 73449.9 32569.3 73449.9 73449.9 32569.3 73449.9 0.103038 118108
21 1981  2.12606e+07 217667 312979 208745 85306 208745 208745 85306 208745 0.15291 249670
21 1982  2.97227e+07 375509 514184 277070 121379 277070 277070 121379 277070 0.132051 354725
21 1983  2.75099e+07 631356 836071 430216 315821 430216 430216 315821 430216 0.301201 391211
21 1984  2.94724e+07 946627 1.16975e+06 460933 616143 460933 460933 616143 460933 0.478852 402968
21 1985  4.33601e+07 1.02972e+06 1.2801e+06 659339 736300 659339 659339 736300 659339 0.544433 473070
21 1986  4.76251e+07 980804 1.25807e+06 752731 676011 752731 752731 676011 752731 0.464001 511354
21 1987  3.59922e+07 1.09922e+06 1.41898e+06 1.00873e+06 704826 1.00873e+06 1.00873e+06 704826 1.00873e+06 0.414452 532979
21 1988  2.28041e+07 1.36478e+06 1.6518e+06 1.14087e+06 731330 1.14087e+06 1.14087e+06 731330 1.14087e+06 0.395074 496798
21 1989  1.86981e+07 1.42799e+06 1.64788e+06 910318 631925 910318 910318 631925 910318 0.339152 396879
21 1990  2.01118e+07 1.50006e+06 1.6281e+06 739056 576970 739056 739056 576970 739056 0.325373 369000
21 1991  1.85109e+07 1.37744e+06 1.51147e+06 685045 594079 685045 685045 594079 685045 0.369084 314242
21 1992  2.87813e+07 1.13453e+06 1.36249e+06 764432 708992 764432 764432 708992 764432 0.50381 329312
21 1993  2.97966e+07 796096 1.1574e+06 687902 725607 687902 687902 725607 687902 0.655182 341343
21 1994  2.36051e+07 793227 1.03125e+06 597208 620002 597208 597208 620002 597208 0.590542 319834
