"Species.n" "Year" "Rec" "SSB" "TSB" "SOP" "SOP.hat" "Yield" "yield.hat" "mean.F" "Eaten"
19 2015 92314 193592 0 81445 0 0 0 0.371 0
19 2016 114113 179140 0 77672 0 0 0 0.373 0
19 2017 79451 198702 0 94582 0 0 0 0.409 0
19 2018 41631 195062 0 95447 0 0 0 0.438 0
19 2019 51309 186286 0 96634 0 0 0 0.472 0
19 2020 33879 164125 0 76820 0 0 0 0.41 0
19 2021 56154 145457 0 50951 0 0 0 0.346 0
19 2022 70476 149131 0 53805 0 0 0 0.327 0
19 2023 64320 161204 0 NA 0 0 0 NA 0
27 1957 137714 65753 0 12064 0 0 0 0.215 0
27 1958 124691 68032 0 14284 0 0 0 0.21 0
27 1959 443230 71774 0 13829 0 0 0 0.219 0
27 1960 40430 74949 0 18618 0 0 0 0.255 0
27 1961 65149 107620 0 23564 0 0 0 0.311 0
27 1962 10556 90249 0 26875 0 0 0 0.34 0
27 1963 12374 72183 0 26161 0 0 0 0.31 0
27 1964 589814 54157 0 11339 0 0 0 0.278 0
27 1965 146425 44188 0 17040 0 0 0 0.288 0
27 1966 57743 105540 0 33337 0 0 0 0.341 0
27 1967 96117 104380 0 33436 0 0 0 0.417 0
27 1968 132130 91849 0 33176 0 0 0 0.489 0
27 1969 86231 71896 0 27556 0 0 0 0.534 0
27 1970 198109 65644 0 19681 0 0 0 0.527 0
27 1971 56211 55659 0 23649 0 0 0 0.504 0
27 1972 117356 62757 0 21083 0 0 0 0.511 0
27 1973 154007 47314 0 19304 0 0 0 0.545 0
27 1974 122279 47202 0 17986 0 0 0 0.555 0
27 1975 60145 48418 0 20769 0 0 0 0.514 0
27 1976 146628 46870 0 17322 0 0 0 0.471 0
27 1977 186133 38415 0 18000 0 0 0 0.464 0
27 1978 63085 44618 0 20276 0 0 0 0.488 0
27 1979 17072 53883 0 22594 0 0 0 0.511 0
27 1980 180708 39842 0 15802 0 0 0 0.515 0
27 1981 241524 26963 0 15399 0 0 0 0.53 0
27 1982 220094 38044 0 21574 0 0 0 0.566 0
27 1983 189684 52718 0 24923 0 0 0 0.614 0
27 1984 86918 53585 0 26836 0 0 0 0.63 0
27 1985 110076 47369 0 24244 0 0 0 0.603 0
27 1986 176820 38687 0 18197 0 0 0 0.568 0
27 1987 86035 34919 0 17365 0 0 0 0.533 0
27 1988 636146 44018 0 21586 0 0 0 0.503 0
27 1989 122846 39715 0 21801 0 0 0 0.479 0
27 1990 222523 116400 0 35117 0 0 0 0.466 0
27 1991 90058 90053 0 33510 0 0 0 0.469 0
27 1992 481581 85460 0 29338 0 0 0 0.489 0
27 1993 113158 58402 0 31488 0 0 0 0.529 0
27 1994 82237 87316 0 32999 0 0 0 0.591 0
27 1995 126246 67751 0 30465 0 0 0 0.662 0
27 1996 76274 40060 0 22647 0 0 0 0.699 0
27 1997 298508 32631 0 14899 0 0 0 0.688 0
27 1998 137173 23327 0 20865 0 0 0 0.666 0
27 1999 109169 46315 0 23472 0 0 0 0.655 0
27 2000 140132 39446 0 22639 0 0 0 0.649 0
27 2001 75472 31714 0 19941 0 0 0 0.62 0
27 2002 200781 31493 0 18658 0 0 0 0.586 0
27 2003 98256 25447 0 19284 0 0 0 0.567 0
27 2004 50793 38523 0 20938 0 0 0 0.56 0
27 2005 51111 31691 0 17696 0 0 0 0.548 0
27 2006 167809 24396 0 13588 0 0 0 0.499 0
27 2007 66910 17471 0 15506 0 0 0 0.452 0
27 2008 74484 32820 0 14616 0 0 0 0.445 0
27 2009 93361 29972 0 15213 0 0 0 0.474 0
27 2010 173790 28401 0 14849 0 0 0 0.504 0
27 2011 170837 25598 0 13188 0 0 0 0.494 0
27 2012 45805 28172 0 14696 0 0 0 0.464 0
27 2013 86258 32652 0 15958 0 0 0 0.433 0
27 2014 148810 28237 0 14640 0 0 0 0.419 0
27 2015 100189 26038 0 14589 0 0 0 0.436 0
27 2016 62225 30198 0 15323 0 0 0 0.487 0
27 2017 111236 25312 0 13573 0 0 0 0.554 0
27 2018 90323 19669 0 12265 0 0 0 0.592 0
27 2019 246789 17726 0 10607 0 0 0 0.553 0
27 2020 40466 19371 0 10490 0 0 0 0.42 0
27 2021 66853 34006 0 9144 0 0 0 0.261 0
27 2022 102517 33962 0 5826 0 0 0 0.148 0
27 2023 109511 34270 0 NA 0 0 0 NA 0
27 1957 137714 66306 0 12064 0 0 0 0.215 0
27 1958 124691 63017 0 14284 0 0 0 0.21 0
27 1959 443230 67922 0 13829 0 0 0 0.219 0
27 1960 40430 71043 0 18618 0 0 0 0.255 0
27 1961 65149 110880 0 23564 0 0 0 0.311 0
27 1962 10556 91948 0 26875 0 0 0 0.34 0
27 1963 12374 72828 0 26161 0 0 0 0.31 0
27 1964 589814 54343 0 11339 0 0 0 0.278 0
27 1965 146425 42731 0 17040 0 0 0 0.288 0
